,Date,ID,bin_pink,polarity,subjectivity,intensity,base_polarity,base_subjectivity
99,2/13/2016,26-5,1,-0.1,0.3,-0.1,0.012727669982134265,0.3637892888636936
100,1/30/2016,26-6,1,0.15428571428571428,0.4771428571428572,0.15428571428571428,0.02648558413264296,0.2808005828594063
101,1/30/2016,26-6,1,-0.05,0.22142857142857145,-0.05,0.02648558413264296,0.2808005828594063
102,1/2/2016,26-8,1,-0.1,0.3,-0.1,0.02726561713480319,0.43304634803181297
103,1/2/2016,26-8,1,-0.25,0.6,-0.25,0.02726561713480319,0.43304634803181297
104,1/2/2016,26-8,1,-0.008333333333333337,0.6083333333333333,-0.008333333333333337,0.02726561713480319,0.43304634803181297
105,1/2/2016,26-8,1,-0.4,0.4,-0.4,0.02726561713480319,0.43304634803181297
106,10/31/2015,26-11,1,0.02,0.48,0.02,0.06239641311069882,0.20479591836734695
107,10/31/2015,26-11,1,-0.35,0.6,-0.35,0.06239641311069882,0.20479591836734695
108,10/31/2015,26-11,1,-0.1,0.3,-0.1,0.06239641311069882,0.20479591836734695
109,9/23/2015,26-12,1,-0.43333333333333335,0.5777777777777778,-0.43333333333333335,0.039762479871175524,0.21806834067703637
110,9/7/2015,26-13,1,-0.1106060606060606,0.5757575757575758,-0.1106060606060606,0.024838023088023083,0.33946251202501204
111,9/7/2015,26-13,1,-0.03333333333333333,0.3666666666666667,-0.03333333333333333,0.024838023088023083,0.33946251202501204
112,9/7/2015,26-13,1,-0.175,0.65,-0.175,0.024838023088023083,0.33946251202501204
113,5/24/2015,26-17,1,0.14,0.56,0.14,0.08402777777777778,0.27548076923076925
114,1/1/2015,26-22,1,0.3833333333333333,0.5833333333333334,0.3833333333333333,0.07482805555555556,0.26357886904761907
115,1/1/2015,26-22,1,0.0,0.2,0.0,0.07482805555555556,0.26357886904761907
116,1/1/2015,26-22,1,-0.05,0.15,-0.05,0.07482805555555556,0.26357886904761907
117,10/29/2014,26-25,1,-0.05,0.15,-0.05,0.010454545454545452,0.30165404040404037
118,10/11/2014,26-26,1,0.10952380952380954,0.4714285714285715,0.10952380952380954,0.06779552540713255,0.35709356505487455
119,10/11/2014,26-26,1,-0.06666666666666668,0.39166666666666666,-0.06666666666666668,0.06779552540713255,0.35709356505487455
120,9/29/2014,26-27,1,-0.55,0.65,-0.55,0.025590513983371133,0.27543761628583063
121,9/29/2014,26-27,1,-0.1,0.3,-0.1,0.025590513983371133,0.27543761628583063
122,9/29/2014,26-27,1,0.009090909090909087,0.18863636363636366,0.009090909090909087,0.025590513983371133,0.27543761628583063
123,9/29/2014,26-27,1,-0.109375,0.421875,-0.109375,0.025590513983371133,0.27543761628583063
124,9/29/2014,26-27,1,0.0,0.2,0.0,0.025590513983371133,0.27543761628583063
125,9/29/2014,26-27,1,-0.06666666666666668,0.2,-0.06666666666666668,0.025590513983371133,0.27543761628583063
126,2/22/2014,26-29,1,-0.1,0.3,-0.1,0.0069444444444444475,0.34722222222222215
127,10/30/2013,26-31,1,-0.3,0.7000000000000001,-0.3,0.175,0.5833333333333333
128,10/30/2013,26-31,1,-0.06266233766233767,0.3113636363636364,-0.06266233766233767,0.175,0.5833333333333333
129,10/30/2013,26-31,1,0.012500000000000004,0.2375,0.012500000000000004,0.175,0.5833333333333333
130,10/30/2013,26-31,1,-0.1,0.3,-0.1,0.175,0.5833333333333333
131,10/13/2013,26-32,1,-0.1,0.3,-0.1,0.06380502082629742,0.26291990318586056
132,10/13/2013,26-32,1,0.0375,0.2791666666666667,0.0375,0.06380502082629742,0.26291990318586056
133,9/29/2013,26-33,1,0.0,0.175,0.0,0.016160178796897545,0.25914630869708993
134,9/29/2013,26-33,1,-0.04,0.18,-0.04,0.016160178796897545,0.25914630869708993
135,9/29/2013,26-33,1,0.13333333333333333,0.3962962962962963,0.13333333333333333,0.016160178796897545,0.25914630869708993
136,9/29/2013,26-33,1,-0.029464285714285717,0.4544642857142857,-0.029464285714285717,0.016160178796897545,0.25914630869708993
137,9/29/2013,26-33,1,-0.1,0.3,-0.1,0.016160178796897545,0.25914630869708993
138,9/29/2013,26-33,1,-0.03333333333333333,0.43333333333333335,-0.03333333333333333,0.016160178796897545,0.25914630869708993
139,9/29/2013,26-33,1,0.0,0.13333333333333333,0.0,0.016160178796897545,0.25914630869708993
140,4/4/2013,26-36,1,0.115,0.435,0.115,0.09558410188844971,0.2993420749942489
141,2/6/2013,26-41,1,0.25,0.55,0.25,0.1380657407407407,0.39195092592592584
142,2/6/2013,26-41,1,-0.1,0.3,-0.1,0.1380657407407407,0.39195092592592584
143,2/6/2013,26-41,1,0.16666666666666666,0.4,0.16666666666666666,0.1380657407407407,0.39195092592592584
144,2/6/2013,26-41,1,0.075,0.4116071428571428,0.075,0.1380657407407407,0.39195092592592584
145,2/6/2013,26-41,1,-0.45,0.25,-0.45,0.1380657407407407,0.39195092592592584
146,9/30/2012,26-48,1,-0.1,0.3,-0.1,0.07220616443177419,0.24550073909830006
147,9/30/2012,26-48,1,-0.1,0.3,-0.1,0.07220616443177419,0.24550073909830006
148,7/28/2012,26-50,1,0.25,0.65,0.25,-0.017811196379378204,0.3026174625038262
149,7/28/2012,26-50,1,-0.1,0.3,-0.1,-0.017811196379378204,0.3026174625038262
150,6/12/2012,26-54,1,-0.1,0.3,-0.1,0.08217019331243468,0.371359064785789
151,6/12/2012,26-54,1,-0.1,0.3,-0.1,0.08217019331243468,0.371359064785789
152,6/12/2012,26-54,1,0.18333333333333332,0.6166666666666666,0.18333333333333332,0.08217019331243468,0.371359064785789
153,5/4/2012,26-59,1,-0.06666666666666668,0.21666666666666667,-0.06666666666666668,0.08947865936147187,0.33158109179593553
154,5/4/2012,26-59,1,-0.15,0.5333333333333333,-0.15,0.08947865936147187,0.33158109179593553
155,3/10/2012,26-67,1,-0.02083333333333336,0.4083333333333334,-0.02083333333333336,0.014741852063280632,0.2875825387134911
156,2/12/2012,26-70,1,0.09166666666666667,0.43333333333333335,0.09166666666666667,0.15934523809523812,0.4257638888888888
157,2/4/2012,26-72,1,-0.05,0.4625,-0.05,0.01972870879120879,0.2906366914780376
158,2/4/2012,26-72,1,0.21666666666666667,0.35000000000000003,0.21666666666666667,0.01972870879120879,0.2906366914780376
